sku,MASTER SKU,DESCRIPTION,Apr-25,Mar-25,TRIMMED MEAN,3 Month MEAN,SD
2785,M0195,ACCESSIBLE TOILET - GOLD,4,0,2.0,2.0,2.8284271247461903
2786,M0353,SILVER ACCESSIBLE TOILET & BABY CHANGE,9,0,4.5,4.5,6.363961030678928
2788,M0264,Rainbow (WOKE) Please Ring Bell,1,0,0.5,0.5,0.7071067811865476
75-OGON-WOB6,M0216,BLACK TEA COFFEE,6,0,3.0,3.0,4.242640687119285
M0016,M0016,WHITEWOOD Lunch Break,1,0,0.5,0.5,0.7071067811865476
M0075,M0075,Black Hot Tub Rules,10,0,5.0,5.0,7.0710678118654755
M0154,M0154,Silver Disabled Toilet Sign,7,0,3.5,3.5,4.949747468305833
M0163,M0163,Silver Ladies Toilet Sign - DICK,1,0,0.5,0.5,0.7071067811865476
M0164,M0164,Silver Mens Toilet Sign - DICK,1,0,0.5,0.5,0.7071067811865476
M0199,M0199,White Do Not Flush Stand,59,1,30.0,30.0,41.012193308819754
M0323,M0323,SILVER UNISEX TOILET CIRCLE,33,0,16.5,16.5,23.33452377915607
M0324,M0324,SILVER UNISEX TOILET DICK,2,0,1.0,1.0,1.4142135623730951
M0329,M0329,BLACK LADIES TOILET,1,0,0.5,0.5,0.7071067811865476
M0340,M0340,BLACK MENS TOILET,2,0,1.0,1.0,1.4142135623730951
M0343,M0343,BLACK UNISEX TOILET,5,1,3.0,3.0,2.8284271247461903
M0481,M0481,WHITE CIRCULAR PUSH PULL,1,1,1.0,1.0,0.0
M0577,M0577,GRAPHICS POOL RULES,3,0,1.5,1.5,2.1213203435596424
M0608,M0608,SILVER NO ALCOHOL,2,1,1.5,1.5,0.7071067811865476
M0610-2,M0610,BLACK PRIVATE PROPERTY,1,0,0.5,0.5,0.7071067811865476
M0631UK,M0631,SILVER AUTOMATIC HAND DISPENSER,1,0,0.5,0.5,0.7071067811865476
M0634Black - Cat,M0634Black - Cat,,3,0,1.5,1.5,2.1213203435596424
M0634S - CAT - BLACK,M0634,PERSONALISED MEMORIAL,12,1,6.5,6.5,7.7781745930520225
M0634S - CAT - COPPER,M0634,PERSONALISED MEMORIAL,3,0,1.5,1.5,2.1213203435596424
M0650UK,M0650,BLACK RESIDENTS PARKING ONLY,6,0,3.0,3.0,4.242640687119285
M0669UK,M0669,BLACK PLEASE RING BUZZER,1,0,0.5,0.5,0.7071067811865476
M0670UK,M0670,WHITE - CASH PAYMENTS ONLY,3,0,1.5,1.5,2.1213203435596424
M0680Gold - Cat,M0680Gold - Cat,,0,1,0.5,0.5,0.7071067811865476
M0680Silver - Cat,M0634,PERSONALISED MEMORIAL,5,0,2.5,2.5,3.5355339059327378
M0680Slate,M0680,SLATE PERSONALISED PHOTO MEMORIAL,1,0,0.5,0.5,0.7071067811865476
M0680Slate,M0774,PERSONALISED SLATE RECTANGULAR PHOTO MEMORIAL,1,0,0.5,0.5,0.7071067811865476
M0680Stone,M0680,STONE PERSONALISED PHOTO MEMORIAL,3,0,1.5,1.5,2.1213203435596424
M0693UK,M0693,SILVER PLEASE KNOCK,3,0,1.5,1.5,2.1213203435596424
M0696UK,M0696,WHITE - SHOWER,3,0,1.5,1.5,2.1213203435596424
M0697UK,M0697,WHITE HOT WATER,4,0,2.0,2.0,2.8284271247461903
M0700,M0700,BLACK DRIVEWAY,3,0,1.5,1.5,2.1213203435596424
M0705,M0705,PRIVATE LAND NO ACCESS,38,0,19.0,19.0,26.870057685088806
M0712,M0712,BLACK CHALLENGE 25 SIGN,2,0,1.0,1.0,1.4142135623730951
M0725,M0725,BLACK PRIVATE,4,0,2.0,2.0,2.8284271247461903
M0726,M0726,SILVER NO ENTRY STAFF ONLY,28,0,14.0,14.0,19.79898987322333
M0740,M0740,GRAPHIC LIVESTOCK,2,0,1.0,1.0,1.4142135623730951
M0743,M0743,YELLOW VEHICLES LEFT AT OWNERS RISK,13,0,6.5,6.5,9.192388155425117
M0750,M0750,CAR PARK DISCLAIMER - BLUE YELLOW SIGN,6,1,3.5,3.5,3.5355339059327378
M0753,M0753,SILVER BABY CHANGING SIGN,4,0,2.0,2.0,2.8284271247461903
M0756,M0756,SILVER WASH YOUR HANDS,5,1,3.0,3.0,2.8284271247461903
M0760,M0760,SILVER SIGN - KEEP HOT TUB COVERED WHEN NOT IN USE,4,0,2.0,2.0,2.8284271247461903
M0762,M0762,YELLOW CCTV,1,0,0.5,0.5,0.7071067811865476
M0780UK,M0780,SILVER IN CASE OF FIRE,1,0,0.5,0.5,0.7071067811865476
M0782UK,M0782,CIRCULAR PUSH AND PULLS SILVER - DRACULA,4,0,2.0,2.0,2.8284271247461903
M0783,M0783,BLACK SEPTIC TANK MEDIUM ADHESIVE - MYRA,1,0,0.5,0.5,0.7071067811865476
M0795,M0795,WHITE LUNCH BREAK MEDIUM - TWINE,1,0,0.5,0.5,0.7071067811865476
M0798,M0798,SILVER PARCEL BOX TEXT LARGE,1,0,0.5,0.5,0.7071067811865476
M0801UK,M0801,GOLD CAUTION HOT SURFACE,4,0,2.0,2.0,2.8284271247461903
M0802UK,M0802,GOLD CAUTION HOT SURFACE,3,0,1.5,1.5,2.1213203435596424
M0856,M0856,BLACK CLIENT PARKING,4,0,2.0,2.0,2.8284271247461903
M0873,M0873,RED STRICTLY NO ADMITTANCE,2,0,1.0,1.0,1.4142135623730951
M0912,M0912,GREEN - PRIVATE DRIVEWAY SIGN,3,0,1.5,1.5,2.1213203435596424
M0933,M0933,GOLD NO JUNK MAIL,9,0,4.5,4.5,6.363961030678928
OC062001_L_UK,M0683,PERSONALISED BRASS PLAQUE,1,0,0.5,0.5,0.7071067811865476
OC062001_M_UK,M0682,PERSONALISED BRASS PLAQUE,3,0,1.5,1.5,2.1213203435596424
OD001024SmallUK,M0467,BLACK PRIVATE,1,0,0.5,0.5,0.7071067811865476
OD001035BW,M0050,Black Double Sided Open Closed,2,0,1.0,1.0,1.4142135623730951
OD001035RW,M0853,RED DOUBLE SIDED OPEN AND CLOSED,1,0,0.5,0.5,0.7071067811865476
OD001044BW,M0563,BLACK VACANCIES,1,1,1.0,1.0,0.0
OD001055,M0041,Gold Mind The Step,20,2,11.0,11.0,12.727922061357855
OD001057,M0701,GOLD BABY CHANGE,1,0,0.5,0.5,0.7071067811865476
OD001058,M0883,SILVER BABY CHANGE - IDI,3,0,1.5,1.5,2.1213203435596424
OD001061,M0003,Silver Push Pull,139,0,69.5,69.5,98.2878425849301
OD001061Merchant,M0003,Silver Push Pull,10,2,6.0,6.0,5.656854249492381
OD001062,M0012,Gold Push Pull,44,7,25.5,25.5,26.16295090390226
OD001082S,M0471,BLACK NO ENTRY,1,0,0.5,0.5,0.7071067811865476
OD001090,M0570,BW DESIGNATED SMOKING AREA,4,0,2.0,2.0,2.8284271247461903
OD001099BW,M0236,BLACK PLEASE LEAVE TOILET,1,0,0.5,0.5,0.7071067811865476
OD001100S,M0030,Silver Hand Dryer,6,0,3.0,3.0,4.242640687119285
OD001103S,M0611,SILVER CAUTION HOT TOWEL RAIL,1,1,1.0,1.0,0.0
OD001104S,M0335,SILVER TURN OFF LIGHTS,4,0,2.0,2.0,2.8284271247461903
OD001105Gold,M0056,Gold Caution Hot Water,18,0,9.0,9.0,12.727922061357855
OD001105S,M0005,Silver Caution Hot Water,93,1,47.0,47.0,65.05382386916237
OD001105S_Merchant,M0005,Silver Caution Hot Water,4,0,2.0,2.0,2.8284271247461903
OD001110S,M0013,Silver In Case of Fire Do Not Use Elevator,15,0,7.5,7.5,10.606601717798213
OD001112S,M0071,Silver Drinking Water,12,0,6.0,6.0,8.48528137423857
OD001114S,M0123,Silver No Dogs Allowed,6,0,3.0,3.0,4.242640687119285
OD001120,M0020,Black Lights & Air Con,4,1,2.5,2.5,2.1213203435596424
OD001121,M0249,SILVER FIRE EXTINGUISHER,2,0,1.0,1.0,1.4142135623730951
OD001124,M0243,Silver Lift Sign UK/AU,3,0,1.5,1.5,2.1213203435596424
OD001127,M0059,Silver No Admittance,3,0,1.5,1.5,2.1213203435596424
OD001128,M0006,Silver Authorised Personnel Only,11,0,5.5,5.5,7.7781745930520225
OD001129,M0334,SILVER KEEP DOOR CLOSED,6,0,3.0,3.0,4.242640687119285
OD001142Silver,M0684,SILVER STAFF BREAK ROOM,2,1,1.5,1.5,0.7071067811865476
OD001143S,M0432,Silver Designated Smoking Area - Saville,2,0,1.0,1.0,1.4142135623730951
OD001144G,M0771,GOLD SMOKE FREE BUILDING,1,0,0.5,0.5,0.7071067811865476
OD001150Gold,M0023,Gold Caution Hot Surface,8,1,4.5,4.5,4.949747468305833
OD001150Red,M0022,Red Caution Hot Surface,9,0,4.5,4.5,6.363961030678928
OD001150Silver,M0031,Silver Caution Hot Surface,32,1,16.5,16.5,21.920310216782973
OD001151Silver,M0212,SILVER PLEASE SHOWER HOT TUB,4,0,2.0,2.0,2.8284271247461903
OD001152Silver,M0407,SILVER NO GLASS IN HOT TUB,4,0,2.0,2.0,2.8284271247461903
OD001152YGold,M0256,Gold No Glass In Hot Tub,3,0,1.5,1.5,2.1213203435596424
OD001154Gold,M0663,GOLD SHOWER SIGN,2,0,1.0,1.0,1.4142135623730951
OD001154Silver,M0283,Silver Shower Sign,6,0,3.0,3.0,4.242640687119285
OD001156Gold,M0220,GOLD OVER 18,3,0,1.5,1.5,2.1213203435596424
OD001156Silver,M0150,Silver Over 18,1,0,0.5,0.5,0.7071067811865476
OD001157Gold,M0317,GOLD OVER 21 ONLY,3,0,1.5,1.5,2.1213203435596424
OD001157Silver,M0594,OVER 21'S ONLY (Circle),5,0,2.5,2.5,3.5355339059327378
OD001158Gold,M0585,GOLD ADULTS ONLY OVER 18,1,0,0.5,0.5,0.7071067811865476
OD001161RW,M0765,WHITE RIGHT THIS WAY,1,0,0.5,0.5,0.7071067811865476
OD001162Black,M0044,Black Please Ring Bell,6,0,3.0,3.0,4.242640687119285
OD001162Gold,M0070,Gold Please Ring Bell,1,0,0.5,0.5,0.7071067811865476
OD001162Gold_FR,OD001162Gold_FR,,3,0,1.5,1.5,2.1213203435596424
OD001162Red,M0017,Red Please Ring Bell,3,0,1.5,1.5,2.1213203435596424
OD001162Silver,M0011,Silver Please Ring Bell,12,1,6.5,6.5,7.7781745930520225
OD001162Stone,M0419,STONE PLEASE RING BELL,1,0,0.5,0.5,0.7071067811865476
OD001163Black,M0082,Black Ring Bell For Service,2,0,1.0,1.0,1.4142135623730951
OD001163Silver,M0014,Silver Ring Bell For Service,3,0,1.5,1.5,2.1213203435596424
OD001168Black,M0203,NO ALCOHOL - BLACK,1,0,0.5,0.5,0.7071067811865476
OD001176Gold,M0360,GOLD MUSLIM PRAYER ROOM,1,0,0.5,0.5,0.7071067811865476
OD001184BW,M0643,BW DELIVERIES PLEASE RING BELL,1,0,0.5,0.5,0.7071067811865476
OD001184Silver,M0519,SILVER DELIVERIES PLEASE RING BELL,4,0,2.0,2.0,2.8284271247461903
OD001187BW,M0376,BLACK MULTI FAITH,1,0,0.5,0.5,0.7071067811865476
OD001187Gold,M0457,GOLD MULTI FAITH,1,0,0.5,0.5,0.7071067811865476
OD001187Silver,M0033,Silver Multi Faith,3,1,2.0,2.0,1.4142135623730951
OD001188Silver,M0544,SILVER MUSLIM PRAYER ROOM,3,0,1.5,1.5,2.1213203435596424
OD001191Black,M0204,Black Out of Order,4,0,2.0,2.0,2.8284271247461903
OD001195Black,M0202,Black No Glass in Bin,1,0,0.5,0.5,0.7071067811865476
OD001195Red,M0529,RED NO GLASS IN BIN,7,0,3.5,3.5,4.949747468305833
OD001198Black,M0004,Black Parcel Box Icon,4,0,2.0,2.0,2.8284271247461903
OD001198Copper,M0246,Copper Parcel Box Icon,1,0,0.5,0.5,0.7071067811865476
OD001198Gold,M0057,Gold Parcel Box ICON,2,1,1.5,1.5,0.7071067811865476
OD001198Silver,M0007,Silver Parcel Box Icon,4,1,2.5,2.5,2.1213203435596424
OD001199Brass,M0032,Copper Parcel Box TEXT,20,1,10.5,10.5,13.435028842544403
OD001199BrassFR,OD001199BrassFR,,2,0,1.0,1.0,1.4142135623730951
OD001199Gold,M0048,Gold Parcel Box TEXT,20,0,10.0,10.0,14.142135623730951
OD001199Silver,M0002,Silver Parcel Box Text,95,4,49.5,49.5,64.34671708797582
OD001199SilverFR,M0945,SILVER FRENCH PARCEL BOX,2,1,1.5,1.5,0.7071067811865476
OD001200Silver,M0486,SILVER DO NOT SWITCH OFF,1,0,0.5,0.5,0.7071067811865476
OD001201Gold,M0874,GOLD PUSH BUTTON TO OPEN,3,0,1.5,1.5,2.1213203435596424
OD001201Silver,OD001201Silver,,1,0,0.5,0.5,0.7071067811865476
OD001203Gold,M0814,GOLD CAUTION AUTOMATIC DOORS SIGN,6,0,3.0,3.0,4.242640687119285
OD001204,M0251,Black Push Pull Rectangular,12,1,6.5,6.5,7.7781745930520225
OD001209CopperUK,M0051,Copper Circular Push Pull,5,0,2.5,2.5,3.5355339059327378
OD001209GoldUK,M0009,Gold Circular Push Pull,16,3,9.5,9.5,9.192388155425117
OD001209SilverUK,M0001,Silver Circular Push Pull,64,2,33.0,33.0,43.840620433565945
OD001210BWUK,M0052,Black Circular Push Pull,3,0,1.5,1.5,2.1213203435596424
OD001216_GOLD,M0194,CCTV IN OPERATION - GOLD,3,0,1.5,1.5,2.1213203435596424
OD010015Left,M0596,BLACK BEER GARDEN (LEFT),1,0,0.5,0.5,0.7071067811865476
OD010016,M0350,BLACK DOG FRIENDLY PUB,8,0,4.0,4.0,5.656854249492381
OD010023,M0733,BLACK SANITARY BIN,3,0,1.5,1.5,2.1213203435596424
OD010023WhiteUK,M0482,WHITE SANITARY BIN,1,0,0.5,0.5,0.7071067811865476
OD010025Black,M0588,BLACK CAR PARK FOR PATRONS ONLY,3,0,1.5,1.5,2.1213203435596424
OD010025Blue,M0525,BLUE CAR PARK FOR PATRONS ONLY,1,0,0.5,0.5,0.7071067811865476
OD010025Red,M0675,RED CAR PARK FOR PATRONS ONLY,2,0,1.0,1.0,1.4142135623730951
OD010027Copper,M0862,COPPER B&B,0,1,0.5,0.5,0.7071067811865476
OD014002DarkBlue,M0161,Dark Blue Septic Tank Adhesive,7,0,3.5,3.5,4.949747468305833
OD014002LightBlue,M0160,Light Blue Septic Tank Adhesive,3,0,1.5,1.5,2.1213203435596424
OD014002White,M0173,White Septic Tank Adhesive,10,0,5.0,5.0,7.0710678118654755
OD024021BW,M0037,Black Double Sided Please Use Other Door,9,0,4.5,4.5,6.363961030678928
